iter	Passed	Remaining
0	259	259242
1	487	243191
2	699	232470
3	916	228231
4	1132	225383
5	1356	224685
6	1620	229858
7	1895	235056
8	2120	233443
9	2343	231966
10	2570	231112
11	2816	231858
12	3064	232666
13	3288	231634
14	3504	230097
15	3720	228782
16	3944	228110
17	4163	227130
18	4372	225770
19	4597	225297
20	4810	224275
21	5019	223118
22	5235	222393
23	5463	222191
24	5697	222202
25	5934	222313
26	6164	222137
27	6383	221594
28	6599	220980
29	6864	221957
30	7158	223758
31	7367	222858
32	7580	222129
33	7796	221523
34	8007	220768
35	8212	219918
36	8422	219219
37	8643	218817
38	8867	218508
39	9097	218328
40	9324	218099
41	9554	217937
42	9766	217357
43	10001	217298
44	10220	216897
45	10468	217105
46	10687	216703
47	10891	216020
48	11116	215753
49	11344	215554
50	11564	215191
51	11773	214647
52	12024	214845
53	12271	214976
54	12506	214891
55	12729	214576
56	12932	213960
57	13149	213570
58	13353	212978
59	13560	212447
60	13775	212051
61	13985	211588
62	14203	211244
63	14417	210858
64	14630	210449
65	14845	210079
66	15053	209626
67	15268	209269
68	15486	208951
69	15713	208763
70	15924	208368
71	16158	208265
72	16384	208063
73	16617	207947
74	16834	207619
75	17048	207271
76	17265	206956
77	17480	206624
78	17682	206142
79	17901	205871
80	18137	205782
81	18344	205366
82	18550	204949
83	18768	204668
84	18978	204303
85	19202	204085
86	19389	203477
87	19610	203241
88	19806	202739
89	20018	202411
90	20237	202150
91	20451	201851
92	20668	201573
93	20898	201423
94	21119	201189
95	21355	201097
96	21564	200746
97	21782	200489
98	22006	200285
99	22212	199913
100	22425	199607
101	22644	199363
102	22856	199047
103	23079	198839
104	23304	198645
105	23533	198484
106	23753	198243
107	23964	197926
108	24176	197626
109	24390	197340
110	24600	197027
111	24804	196667
112	25017	196376
113	25236	196139
114	25438	195763
115	25646	195447
116	25848	195078
117	26039	194632
118	26249	194337
119	26463	194067
120	26679	193811
121	26894	193548
122	27113	193324
123	27319	192997
124	27532	192729
125	27771	192638
126	27988	192394
127	28193	192066
128	28404	191783
129	28600	191400
130	28841	191324
131	29055	191063
132	29246	190653
133	29453	190351
134	29670	190110
135	29888	189881
136	30100	189612
137	30305	189301
138	30503	188946
139	30699	188580
140	30901	188255
141	31101	187923
142	31317	187688
143	31542	187503
144	31759	187268
145	31964	186971
146	32164	186639
147	32369	186343
148	32614	186272
149	32820	185980
150	33042	185784
151	33248	185491
152	33457	185220
153	33667	184954
154	33872	184660
155	34068	184317
156	34303	184191
157	34536	184050
158	34795	184046
159	35004	183776
160	35211	183495
161	35426	183255
162	35635	182986
163	35851	182757
164	36043	182402
165	36278	182268
166	36483	181980
167	36683	181671
168	36880	181348
169	37087	181076
170	37296	180813
171	37508	180563
172	37741	180416
173	38002	180402
174	38209	180131
175	38427	179910
